,0,1,2,3,4
0,0.0,5.0,0.0,1.25,0.0
1,0.1,5.0,0.0,1.1962890625,0.0
2,0.2,5.0,0.0,1.533203125,0.0
3,0.30000000000000004,5.0,0.0341796875,1.357421875,0.0
4,0.4,5.0,0.21484375,1.328125,0.0
5,0.5,5.0,0.5419921875,1.4306640625,0.0
6,0.6000000000000001,5.0,0.927734375,1.6064453125,0.0
7,0.7000000000000001,5.0,1.30859375,1.8310546875,0.0
8,0.8,5.0,1.6455078125,2.0654296875,0.0
9,0.9,5.0,1.953125,2.28515625,0.0
10,1.0,5.0,2.20703125,2.48046875,0.0
11,1.1,5.0,2.4365234375,2.6611328125,0.0
12,1.2000000000000002,5.0,2.63671875,2.822265625,0.0
13,1.3,5.0,2.841796875,2.9833984375,0.0
14,1.4000000000000001,5.0,3.0126953125,3.134765625,0.0
15,1.5,5.0,3.173828125,3.271484375,0.0
16,1.6,5.0,3.3349609375,3.388671875,0.0
17,1.7000000000000002,5.0,3.49609375,3.4765625,0.0
18,1.8,5.0,3.6376953125,3.564453125,0.0
19,1.9000000000000001,5.0,3.779296875,3.6474609375,0.0
20,2.0,5.0,3.90625,3.720703125,0.0
21,2.1,5.0,4.0234375,3.779296875,0.0
22,2.2,5.0,4.12109375,3.8330078125,0.0
23,2.3000000000000003,5.0,4.21875,3.88671875,0.0
24,2.4000000000000004,5.0,4.3017578125,3.935546875,0.0
25,2.5,5.0,4.3798828125,3.9794921875,0.0
26,2.6,5.0,4.462890625,4.0283203125,0.0
27,2.7,5.0,4.53125,4.072265625,0.0
28,2.8000000000000003,5.0,4.599609375,4.1162109375,0.0
29,2.9000000000000004,5.0,4.6630859375,4.1552734375,0.0
30,3.0,5.0,4.7216796875,4.1943359375,0.0
31,3.1,5.0,4.7705078125,4.228515625,0.0
32,3.2,5.0,4.82421875,4.2578125,0.0
33,3.3000000000000003,5.0,4.86328125,4.2919921875,0.0
34,3.4000000000000004,5.0,4.9072265625,4.31640625,0.0
35,3.5,5.0,4.9462890625,4.345703125,0.0
36,3.6,5.0,4.98046875,4.365234375,0.0
37,3.7,5.0,5.0146484375,4.3896484375,0.0
38,3.8000000000000003,5.0,5.0439453125,4.4091796875,0.0
39,3.9000000000000004,5.0,5.068359375,4.4287109375,0.0
40,4.0,5.0,5.0927734375,4.4482421875,0.0
41,4.1000000000000005,5.0,5.1171875,4.462890625,0.0
42,4.2,5.0,5.1416015625,4.4775390625,0.0
43,4.3,5.0,5.166015625,4.4921875,0.0
44,4.4,5.0,5.1806640625,4.5068359375,0.0
45,4.5,5.0,5.2001953125,4.5166015625,0.0
46,4.6000000000000005,5.0,5.21484375,4.53125,0.0
47,4.7,5.0,5.2294921875,4.541015625,0.0
48,4.800000000000001,5.0,5.244140625,4.55078125,0.0
49,4.9,5.0,5.2587890625,4.560546875,0.0
50,5.0,5.0,5.2685546875,4.5703125,0.0
51,5.1000000000000005,5.0,5.283203125,4.5751953125,0.0
52,5.2,5.0,5.29296875,4.5849609375,0.0
53,5.300000000000001,5.0,5.302734375,4.5947265625,0.0
54,5.4,5.0,5.3173828125,4.599609375,0.0
55,5.5,5.0,5.3271484375,4.6044921875,0.0
56,5.6000000000000005,5.0,5.3369140625,4.6142578125,0.0
57,5.7,5.0,5.3515625,4.6240234375,0.0
58,5.800000000000001,5.0,5.361328125,4.62890625,0.0
59,5.9,5.0,5.37109375,4.638671875,0.0
60,6.0,5.0,5.380859375,4.6435546875,0.0
61,6.1000000000000005,5.0,5.390625,4.6484375,0.0
62,6.2,5.0,5.3955078125,4.6533203125,0.0
63,6.300000000000001,5.0,5.400390625,4.658203125,0.0
64,6.4,5.0,5.4052734375,4.6630859375,0.0
65,6.5,5.0,5.41015625,4.66796875,0.0
66,6.6000000000000005,5.0,5.41015625,4.66796875,0.0
67,6.7,5.0,5.4150390625,4.6728515625,0.0
68,6.800000000000001,5.0,5.419921875,4.6728515625,0.0
69,6.9,5.0,5.419921875,4.677734375,0.0
70,7.0,5.0,5.4248046875,4.677734375,0.0
71,7.1000000000000005,5.0,5.4248046875,4.677734375,0.0
72,7.2,5.0,5.4296875,4.6826171875,0.0
73,7.300000000000001,5.0,5.4296875,4.6826171875,0.0
74,7.4,5.0,5.4296875,4.6826171875,0.0
75,7.5,5.0,5.4345703125,4.6875,0.0
76,7.6000000000000005,5.0,5.4345703125,4.6875,0.0
77,7.7,5.0,5.4345703125,4.6875,0.0
78,7.800000000000001,5.0,5.439453125,4.6875,0.0
79,7.9,5.0,5.439453125,4.6875,0.0
80,8.0,5.0,5.439453125,4.6875,0.0
81,8.1,5.0,5.439453125,4.6923828125,0.0
82,8.200000000000001,5.0,5.439453125,4.6923828125,0.0
83,8.3,5.0,5.439453125,4.6923828125,0.0
84,8.4,5.0,5.439453125,4.6923828125,0.0
85,8.5,5.0,5.439453125,4.6923828125,0.0
86,8.6,5.0,5.439453125,4.6923828125,0.0
87,8.700000000000001,5.0,5.439453125,4.6923828125,0.0
88,8.8,5.0,5.439453125,4.6923828125,0.0
89,8.9,5.0,5.439453125,4.6923828125,0.0
90,9.0,5.0,5.439453125,4.6923828125,0.0
91,9.1,5.0,5.439453125,4.6923828125,0.0
92,9.200000000000001,5.0,5.4345703125,4.6923828125,0.0
93,9.3,5.0,5.439453125,4.6923828125,0.0
94,9.4,5.0,5.4345703125,4.6923828125,0.0
95,9.5,5.0,5.4345703125,4.6923828125,0.0
96,9.600000000000001,5.0,5.439453125,4.6923828125,0.0
97,9.700000000000001,5.0,5.4345703125,4.6923828125,0.0
